venue,citacoes,estrato,tipo,sigla_ou_issn,nome_qualis,como
Brazilian Symposium on Games and Digital Entertainment,3,A4,evento,SBGAMES,Simpósio Brasileiro de Jogos e Entretenimento Digital,nome
International Journal on Software Tools for Technology Transfer (STTT),3,A4,periódico,1433-2779,INTERNATIONAL JOURNAL ON SOFTWARE TOOLS FOR TECHNOLOGY TRANSFER (PRINT),ISSN
2010 Fourth International Conference on Secure Software Integration and Reliability Improvement,3,,,,,não listado
"2010 Fourth Brazilian Symposium on Software Components, Architectures and Reuse",3,,,,,não listado
PROBLEMS IN PROGRAMMING,3,,,,,não listado
Frontiers in Psychology,3,A2,periódico,1664-1078,FRONTIERS IN PSYCHOLOGY,ISSN
International Conference on Software Business,3,B1,evento,ICSOB,International Conference on Software Business,nome
Anais Estendidos do XXII Simpósio Brasileiro de Qualidade de Software (SBQS Estendido 2023),3,A3,evento,SBQS,Simpósio Brasileiro de Qualidade de Software,nome
"2011 Fifth Brazilian Symposium on Software Components, Architectures and Reuse",3,,,,,não listado
2009 33rd Annual IEEE Software Engineering Workshop,3,,,,,workshop/trilha
International Conference on Agile Software Development,3,A3,evento,XP,International Conference on Agile Software Development,nome
International Workshop on Software Health,3,,,,,workshop/trilha
"International Convention on Information and Communication Technology, Electronics and Microelectronics",3,,,,,não listado
Requirements Engineering: Foundation for Software Quality,3,,,,,não listado
EA@AOSD,3,,,,,workshop/trilha
Anais do XXXIX Concurso de Teses e Dissertações da SBC (CTD-SBC 2026),3,,,,,não listado
Anais da V Escola Regional de Engenharia de Software (ERES 2021),3,,,,,não listado
Annual Conference on Innovation and Technology in Computer Science Education,3,A1,evento,ITICSE,Joint Conference on Innovation and Technology in Computer Science Education,nome aproximado
,3,C,periódico,2278-0181,INTERNATIONAL JOURNAL OF ENGINEERING RESEARCH & TECHNOLOGY,nome
International Journal of Agent-Oriented Software Engineering,3,,,,,não listado
International Journal of Electrical and Computer Engineering (IJECE),3,,,,,não listado
RECIMA21 - Revista Científica Multidisciplinar - ISSN 2675-6218,3,A4,periódico,2675-6218,RECIMA21,ISSN
BigData Congress [Services Society],3,A1,evento,BIGDATA,IEEE International Conference on Big Data,nome
Inf.,3,,,,,não listado
2024 IEEE 4th International Maghreb Meeting of the Conference on Sciences and Techniques of Automatic Control and Computer Engineering (MI-STA),3,,,,,não listado
"2024 IEEE/ACM Workshop on Gender Equality, Diversity, and Inclusion in Software Engineering (GEICSE)",3,,,,,workshop/trilha
International Symposium on Electronic Commerce,3,,,,,não listado
Latin American Test Workshop - LATW,3,,,,,workshop/trilha
OTM Conferences,3,,,,,não listado
Journal of Information Systems and Technology Management,3,B1,periódico,1807-1775,JISTEM-JOURNAL OF INFORMATION SYSTEMS AND TECHNOLOGY MANAGEMENT,ISSN
ICSE Companion,3,,,,,workshop/trilha
International Conference on Web Information Systems and Technologies,3,A4,evento,WEBIST,International Conference on Web Information Systems and Technologies,nome
The Web Conference,3,A1,evento,WWW,The ACM Web Conference,nome
Information Systems Frontiers,3,,,,,não listado
Complex,3,,,,,não listado
Anais do XXX Simpósio Brasileiro de Informática na Educação (SBIE 2019),3,A3,evento,SBIE,Simpósio Brasileiro de Informática na Educação,nome
ICST Transactions on Scalable Information Systems,3,,,,,não listado
ACM SIGSOFT Softw. Eng. Notes,3,,,,,não listado
Eä,3,,,,,não listado
Anais do XI Computer on the Beach - COTB '20,3,,,,,não listado
IEEE Transactions on Visualization and Computer Graphics,3,A1,periódico,1077-2626,IEEE TRANSACTIONS ON VISUALIZATION AND COMPUTER GRAPHICS,ISSN
International Conference on Crowd Science and Engineering,3,,,,,não listado
"Interdisciplinary Journal of Information, Knowledge, and Management",3,,,,,não listado
Tehnički glasnik,3,,,,,não listado
AIware,3,B3,evento,AIWARE,ACM International Conference on AI-Powered Software,sigla
Data & Knowledge Engineering,3,A3,periódico,0169-023X,DATA & KNOWLEDGE ENGINEERING,ISSN
Cluster Computing,3,A2,periódico,1386-7857,CLUSTER COMPUTING,ISSN
Periodicals of Engineering and Natural Sciences (PEN),3,,,,,não listado
Information,3,C,periódico,2078-2489,INFORMATION,ISSN
"Soft Computing - A Fusion of Foundations, Methodologies and Applications",3,A1,periódico,1432-7643,SOFT COMPUTING (BERLIN. PRINT),ISSN
2016 IEEE/ACM 38th International Conference on Software Engineering Companion (ICSE-C),3,,,,,workshop/trilha
Workshop-School on Theoretical Computer Science,3,,,,,workshop/trilha
IEEE International Conference on Tools with Artificial Intelligence,3,A2,evento,ICTAI,IEEE International Conference on Tools with Artificial Intelligence,nome
Research Challenges in Information Science,3,A4,evento,RCIS,International Conference on Research Challenges in Information Science,sigla
2012 IEEE Seventh International Conference on Global Software Engineering,3,,,,,não listado
2026 ASEE Annual Conference &amp; Exposition Proceedings,3,,,,,não listado
iSys,3,A4,periódico,1984-2902,ISYS: REVISTA BRASILEIRA DE SISTEMAS DE INFORMAÇÃO,ISSN
Proceedings of the Design Society,3,,,,,não listado
Journal of Computer Languages,3,A4,periódico,2590-1184,JOURNAL OF COMPUTER LANGUAGES,ISSN
Journal of Software Engineering and Applications,3,B3,periódico,1945-3116,JOURNAL OF SOFTWARE ENGINEERING AND APPLICATIONS (PRINT),ISSN
"2021 3rd International Conference on Advances in Computing, Communication Control and Networking (ICAC3N)",2,,,,,não listado
Journal of Internet Services and Applications,2,A3,periódico,1867-4828,JOURNAL OF INTERNET SERVICES AND APPLICATIONS,ISSN
First International Workshop on Assessment of Contemporary Modularization Techniques (ACoM '07),2,,,,,workshop/trilha
2023 IEEE/ACM 45th International Conference on Software Engineering: New Ideas and Emerging Results (ICSE-NIER),2,A3,evento,ICSE-NIER,ACM International Conference on Software Engineering: New Ideas and Emerging Results,nome
,2,B3,periódico,0717-5000,CLEI ELECTRONIC JOURNAL,nome
Semantic Web,2,A2,periódico,2210-4968,SEMANTIC WEB (ONLINE),nome
Softwaretechnik-Trends,2,,,,,não listado
INCOSE International Symposium,2,,,,,não listado
SBES Companion,2,,,,,workshop/trilha
European Dependable Computing Conference,2,A4,evento,EDCC,European Dependable Computing Conference,nome
Anais Estendidos da Conferência Brasileira de Software: Teoria e Prática,2,,,,,não listado
ComTech,2,,,,,não listado
IEEE Biennial Congress of Argentina,2,,,,,não listado
HMD Praxis der Wirtschaftsinformatik,2,,,,,não listado
Brazilian Symposium on Formal Methods,2,A4,evento,SBMF,Brazilian Symposium on Formal Methods,nome
International Journal of Environmental Research and Public Health,2,C,periódico,1660-4601,INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC HEALTH,ISSN
International Conference on Lean and Agile Software Development,2,,,,,não listado
International Conference on Information Science and Applications,2,,,,,não listado
Asia-Pacific Symposium on Internetware,2,,,,,não listado
Anais do XXI Congresso Latino-Americano de Software Livre e Tecnologias Abertas (Latinoware 2024),2,B4,evento,LATINOWARE,Congresso Latino-americano de Software Livre e Tecnologias Abertas,nome
Advances in Computing,2,,,,,não listado
VFAST Transactions on Software Engineering,2,,,,,não listado
IEEE International Conference on Engineering of Complex Computer Systems,2,,,,,não listado
"Proceedings of the 2024 13th International Conference on Networks, Communication and Computing",2,,,,,não listado
2023 11th International Conference in Software Engineering Research and Innovation (CONISOFT),2,,,,,não listado
Anais do XXXI Workshop de Informática na Escola (WIE 2025),2,A4,evento,WIE,Workshop de Informática na Escola,nome
2025 13th International Conference in Software Engineering Research and Innovation (CONISOFT),2,,,,,não listado
TSEM,2,,,,,não listado
Acta Medica Iranica,2,,,,,não listado
INFORSID,2,,,,,não listado
2010 International Conference On Computer Design and Applications,2,,,,,não listado
2011 XIII Symposium on Virtual Reality,2,,,,,não listado
Anais Estendidos do XII Congresso Brasileiro de Software: Teoria e Prática (CBSoft Estendido 2021),2,,,,,não listado
ANT/EDI40,2,,,,,não listado
International Symposium on Component-Based Software Engineering,2,,,,,não listado
"ACM SIGPLAN International Conference on Systems, Programming, Languages and Applications: Software for Humanity",2,,,,,workshop/trilha
Anais Estendidos do XIV Congresso Brasileiro de Software: Teoria e Prática (CBSoft Estendido 2023),2,,,,,não listado
2011 Malaysian Conference in Software Engineering,2,,,,,não listado
2008 Advanced Software Engineering and Its Applications,2,,,,,não listado
WorldCIST,2,A2,evento,WorldCIST,World Conference on Information Systems and Technologies,sigla
2008 32nd Annual IEEE Software Engineering Workshop,2,,,,,workshop/trilha
Universal Access in the Information Society,2,A3,periódico,1615-5289,UNIVERSAL ACCESS IN THE INFORMATION SOCIETY (PRINT),ISSN
ACM Journal of Data and Information Quality,2,A4,periódico,1936-1955,ACM JOURNAL OF DATA AND INFORMATION QUALITY,nome
IWSM-Mensura,2,,,,,não listado
Anais da XII Escola Regional de Informática de Goiás (ERI-GO 2024),2,,,,,não listado
Proceedings of the 2012 ACM-IEEE International Symposium on Empirical Software Engineering and Measurement,2,A2,evento,ESEM,ACM/IEEE International Symposium on Empirical Software Engineering and Measurement,nome
"Proceedings of the LACCEI international multi-conference for engineering, education and technology",2,,,,,não listado
Annual International Conference of the IEEE Engineering in Medicine and Biology Society,2,A1,evento,EMBC,Annual International Conference of the IEEE Engineering in Medicine and Biology Society,nome
IWPSE-EVOL '11,2,,,,,não listado
REGEPE Entrepreneurship and Small Business Journal,2,,,,,não listado
2025 IEEE 33rd International Requirements Engineering Conference Workshops (REW),2,,,,,workshop/trilha
EAI International Conference on ICT for Development for Africa,2,,,,,não listado
REVISTA COLOMBIANA DE TECNOLOGIAS DE AVANZADA (RCTA),2,,,,,não listado
Multiagent and Grid Systems,2,,,,,não listado
Computing and informatics,2,B2,periódico,1335-9150,COMPUTING AND INFORMATICS,ISSN
TEM Journal,2,,,,,não listado
2017 IEEE/ACM 4th International Workshop on Software Engineering Research and Industrial Practice (SER&IP),2,B3,evento,SER&IP,IEEE/ACM International Workshop on Software Engineering Research and Industrial Practice,nome
Research Challenges in Information Science,2,,,,,não listado
2012 Eighth International Conference on the Quality of Information and Communications Technology,2,,,,,não listado
ET Journal,2,,,,,não listado
International Conference on Learning Representations,2,A1,evento,ICLR,International Conference on Learning Representations,nome
Foundations of Computing and Decision Sciences,2,,,,,não listado
,2,B4,periódico,1742-6588,JOURNAL OF PHYSICS. CONFERENCE SERIES (PRINT),nome
Gamify@SIGSOFT FSE,2,,,,,workshop/trilha
International Journal of Web and Grid Services,2,,,,,não listado
International Conference on Business Process Management,2,A2,evento,BPM,International Conference on Business Process Management,nome
"2026 3rd International Conference on Algorithms, Software Engineering and Network Security (ASENS)",2,,,,,não listado
Computers & graphics,2,A2,periódico,0097-8493,COMPUTERS & GRAPHICS,ISSN
Anais Estendidos do XX Simpósio Brasileiro de Games e Entretenimento Digital (SBGames Estendido 2021),2,,,,,não listado
2021 ASEE Virtual Annual Conference Content Access Proceedings,2,,,,,não listado
2025 IEEE/ACM 47th International Conference on Software Engineering: New Ideas and Emerging Results (ICSE-NIER),2,A3,evento,ICSE-NIER,ACM International Conference on Software Engineering: New Ideas and Emerging Results,nome
"Research, Society and Development",2,C,periódico,2525-3409,"RESEARCH, SOCIETY AND DEVELOPMENT",ISSN
Entropy,2,A2,periódico,1099-4300,ENTROPY (BASEL. ONLINE),ISSN
Algorithms,2,C,periódico,1999-4893,ALGORITHMS,ISSN
International Journal of Cloud Applications and Computing,2,,,,,não listado
International Conference on Predictive Models in Software Engineering,2,B1,evento,PROMISE,International Conference on Predictive Models and Data Analytics in Software Engineering,nome
2015 2nd ACM International Conference on Mobile Software Engineering and Systems,2,B2,evento,MOBILESOFT,International Conference on Mobile Software Engineering and Systems,nome
"International Conference on the Art, Science and Engineering of Programming",2,,,,,workshop/trilha
The gerontologist,2,,,,,não listado
ICT for Sustainability,2,,,,,não listado
International Conference on Emerging Intelligent Data and Web Technologies,2,,,,,não listado
Knowledge and Information Systems,2,A3,periódico,0219-3116,KNOWLEDGE AND INFORMATION SYSTEMS (ELECTRONIC RESOURCE),ISSN
Revista Facultad de Ingeniería,2,,,,,não listado
Journal of Information and Data Management,2,A4,periódico,2178-7107,JOURNAL OF INFORMATION AND DATA MANAGEMENT - JIDM,ISSN
Message Understanding Conference,2,,,,,não listado
Revista Científica,2,,,,,não listado
Proceedings of the ACM/IEEE 29th International Conference on Model Driven Engineering Languages and Systems,2,A2,evento,MODELS,International Conference on Model Driven Engineering Languages and Systems,nome
International journal of information technology,2,,,,,não listado
Indonesian Journal Of Educational Research and Review,2,,,,,não listado
Indonesian Journal on Learning and Advanced Education (IJOLAE),2,,,,,não listado
Journal of Intelligent & Fuzzy Systems,2,A4,periódico,1064-1246,JOURNAL OF INTELLIGENT & FUZZY SYSTEMS,ISSN
Cybersecurity and Cyberforensics Conference,2,,,,,não listado
IEEE Transactions on Computational Social Systems,2,A1,periódico,2329-924X,IEEE TRANSACTIONS ON COMPUTATIONAL SOCIAL SYSTEMS,ISSN
Anais do II Simpósio Brasileiro de Educação em Computação (EDUCOMP 2022),2,B1,evento,EDUCOMP,Simpósio Brasileiro de Educação em Computação,nome
Conference on Information Technology Education,2,,,,,não listado
Anais da II Conferência de Tecnologia do ICET (CONNECTech 2025),2,,,,,não listado
Anais da VI Escola Regional de Engenharia de Software (ERES 2022),2,,,,,não listado
Anais do Computer on the Beach,2,,,,,não listado
"Journal of Physics, Conference Series",2,B4,periódico,1742-6588,JOURNAL OF PHYSICS. CONFERENCE SERIES (PRINT),ISSN
Düzce Üniversitesi Bilim ve Teknoloji Dergisi,2,,,,,não listado
2013 ACM / IEEE International Symposium on Empirical Software Engineering and Measurement,2,A2,evento,ESEM,ACM/IEEE International Symposium on Empirical Software Engineering and Measurement,nome
European Conference on the Engineering of Computer-Based Systems,2,,,,,não listado
Expert Syst. J. Knowl. Eng.,2,A2,periódico,1468-0394,EXPERT SYSTEMS (ONLINE),nome
GECCO Companion,2,,,,,workshop/trilha
TecnoLógicas,2,,,,,não listado
International Conference on Electronic Government and the Information Systems Perspective,2,B3,evento,EGOVIS,International Conference on Electronic Government and the Information Systems Perspective,nome
2014 IEEE 38th Annual Computer Software and Applications Conference,2,,,,,não listado
"Higher Education, Skills and Work-based Learning",2,,,,,não listado
Revista de Sistemas e Computação,2,B4,periódico,2237-2903,REVISTA DE SISTEMAS E COMPUTAÇÃO - RSC,ISSN
Teaching in Higher Education,2,,,,,não listado
Advances in Intelligent Systems and Computing,2,,,,,não listado
Journal of Engineering Education,2,,,,,não listado
Proceedings of the VLDB Endowment,2,A1,periódico,2150-8097,PROCEEDINGS OF THE VLDB ENDOWNMENT,ISSN
International Journal of Computer Applications,2,C,periódico,0975-8887,INTERNATIONAL JOURNAL OF COMPUTER APPLICATIONS,ISSN
"International Conference on Big Data, Cloud Computing, Data Science & Engineering",2,,,,,não listado
Continuing Professional Education Theory and Practice,2,,,,,não listado
The International Journal of Organizational Analysis,2,A1,periódico,1934-8835,INTERNATIONAL JOURNAL OF ORGANIZATIONAL ANALYSIS (2005),nome
Discover Education,2,,,,,não listado
IEEE Working Conference on Software Visualization,2,B2,evento,VISSOFT,IEEE Working Conference on Software Visualization,nome
International Workshop on Bots in Software Engineering,2,,,,,workshop/trilha
International Conference Games and Learning Alliance,2,,,,,não listado
,2,B2,periódico,0975-9018,INTERNATIONAL JOURNAL OF SOFTWARE ENGINEERING & APPLICATIONS (IJSEA),nome
2017 IEEE/ACM 39th International Conference on Software Engineering: Software Engineering Education and Training Track (ICSE-SEET),2,B1,evento,ICSE-SEET,ACM International Conference on Software Engineering: Software Engineering Education and Training,sigla
2017 IEEE International Conference on Cybernetics and Computational Intelligence (CyberneticsCom),2,,,,,não listado
2022 IEEE/ACM International Conference on Technical Debt (TechDebt),2,A3,evento,TECHDEBT,International Conference on Technical Debt,nome
Anais do I Simpósio Brasileiro de Educação em Computação (EDUCOMP 2021),2,B1,evento,EDUCOMP,Simpósio Brasileiro de Educação em Computação,nome
Research on computing science,2,,,,,não listado
Digital Society,2,,,,,não listado
International Multi-Topic Conference,2,,,,,não listado
International Conference on Agents and Artificial Intelligence,2,A3,evento,ICAART,International Conference on Agents and Artificial Intelligence,nome
IEEE International Conference on e-Business Engineering,2,,,,,não listado
International Conference on Global Software Engineering,2,,,,,não listado
Fundamentals of Software Startups,2,,,,,não listado
Innovative Higher Education,2,,,,,não listado
2008 Simp&#x0F3;sio Brasileiro de Sistemas Colaborativos,2,A4,evento,SBSC,Simpósio Brasileiro de Sistemas Colaborativos,nome
Computer and Telecommunication Engineering,2,,,,,não listado
2023 IEEE/ACM 45th International Conference on Software Engineering: Software Engineering in Practice (ICSE-SEIP),2,A1,evento,ICSE-SEIP,ACM International Conference on Software Engineering: Software Engineering in Practice,nome
Journal of Applied Research and Technology,2,B2,periódico,1665-6423,JOURNAL OF APPLIED RESEARCH AND TECHNOLOGY,ISSN
Model-Based Engineering of Collaborative Embedded Systems,2,,,,,não listado
Int. J. Hum. Comput. Stud.,2,A1,periódico,1071-5819,INTERNATIONAL JOURNAL OF HUMAN-COMPUTER STUDIES (PRINT),apelido
2018 48th Annual IEEE/IFIP International Conference on Dependable Systems and Networks Workshops (DSN-W),2,,,,,workshop/trilha
International Conferences on Software Engineering and Information Management,2,,,,,não listado
International journal of parallel programming,2,A3,periódico,0885-7458,INTERNATIONAL JOURNAL OF PARALLEL PROGRAMMING,ISSN
2022 IEEE 30th International Requirements Engineering Conference Workshops (REW),2,,,,,workshop/trilha
IEICE Trans. Inf. Syst.,2,,,,,não listado
"Anais do VI Workshop em Blockchain: Teoria, Tecnologias e Aplicações (WBlockchain 2023)",2,B4,evento,WBLOCKCHAIN,"Workshop em Blockchain: Teoria, Tecnologias e Aplicações",nome
Anais do XXXII Simpósio Brasileiro de Informática na Educação (SBIE 2021),2,A3,evento,SBIE,Simpósio Brasileiro de Informática na Educação,nome
"Anais do VII Workshop em Blockchain: Teoria, Tecnologias e Aplicações (WBlockchain 2024)",2,B4,evento,WBLOCKCHAIN,"Workshop em Blockchain: Teoria, Tecnologias e Aplicações",nome
2014 8th. Malaysian Software Engineering Conference (MySEC),2,,,,,não listado
Anais do LII Seminário Integrado de Software e Hardware (SEMISH 2025),2,A4,evento,SEMISH,Seminário Integrado de Software e Hardware,nome
International Software Process Workshop,2,,,,,workshop/trilha
Open Education Studies,2,,,,,não listado
ICSOB Companion,2,,,,,workshop/trilha
"Computer languages, systems & structures",2,,,,,não listado
CISETC,2,,,,,não listado
International Conferences on Dependable Systems and Their Applications,2,,,,,não listado
2023 6th International Conference on Information Systems and Computer Networks (ISCON),2,,,,,não listado
2012 Proceedings of IEEE Southeastcon,2,,,,,não listado
2023 38th IEEE/ACM International Conference on Automated Software Engineering Workshops (ASEW),2,,,,,workshop/trilha
2023 2nd International Conference on Multidisciplinary Engineering and Applied Science (ICMEAS),2,,,,,não listado
Malaysian Journal of Computer Science,2,,,,,não listado
International Journal of Software Engineering and Computer Systems,2,,,,,não listado
2019 IEEE/ACM 3rd International Workshop on Refactoring (IWoR),2,,,,,workshop/trilha
ACM Symposium on User Interface Software and Technology,2,,,,,não listado
2025 IEEE/ACM International Workshop on Designing Software (Designing),2,,,,,workshop/trilha
2022 IEEE/ACM 44th International Conference on Software Engineering: Software Engineering in Society (ICSE-SEIS),2,B1,evento,ICSE-SEIS,International Conference on Software Engineering: Software Engineering in Society,nome
European Conference of Software Engineering Education,2,,,,,não listado
Scientific Programming,2,,,,,não listado
Computers & security,2,A1,periódico,0167-4048,COMPUTERS & SECURITY,ISSN
WMF,2,,,,,não listado
2017 IEEE AFRICON,2,,,,,não listado
BElgian-NEtherlands software eVOLution symposium,2,,,,,não listado
Anais do XVI Women in Information Technology (WIT 2022),2,B1,evento,WIT,Women in Information Technology,nome
,2,A3,periódico,0265-671X,INTERNATIONAL JOURNAL OF QUALITY AND RELIABILITY MANAGEMENT,nome
Technology and Society,2,A1,periódico,0160-791X,TECHNOLOGY IN SOCIETY,nome
International Conference on Conceptual Modeling,2,A3,evento,ER,International Conference on Conceptual Modeling,nome
International Conference on Information Technology Based Higher Education and Training,2,B2,evento,ITHET,International Conference on Information Technology Based Higher Education and Training,nome
Contemporary Empirical Methods in Software Engineering,2,,,,,não listado
Smart Learning Environments,2,A1,periódico,2196-7091,SMART LEARNING ENVIRONMENTS,ISSN
International Workshop on Software Engineering Aspects of Continuous Development and New Paradigms of Software Production and Deployment,2,,,,,workshop/trilha
Anais Estendidos do IV Simpósio Brasileiro de Educação em Computação (EDUCOMP Estendido 2024),2,B1,evento,EDUCOMP,Simpósio Brasileiro de Educação em Computação,nome
"International Conference on Information Systems, Technology and Management",2,,,,,não listado
IEEE International Conference on Progress in Informatics and Computing,2,,,,,não listado
Egyptian Informatics Journal,2,,,,,não listado
Information Technology and Control,2,,,,,não listado
Applied Informatics,2,C,periódico,2673-2688,AI,nome
Journal of Enterprise Information Management,2,,,,,não listado
IEEE Transactions on Services Computing,2,A1,periódico,1939-1374,IEEE TRANSACTIONS ON SERVICES COMPUTING,ISSN
"Proceedings. 11th IEEE International Requirements Engineering Conference, 2003.",2,A2,evento,RE,IEEE International Requirements Engineering Conference,nome
International Journal of Artificial Intelligence in Education,2,A1,periódico,1560-4306,INTERNATIONAL JOURNAL OF ARTIFICIAL INTELLIGENCE IN EDUCATION,nome
Research in Adaptive and Convergent Systems,2,,,,,não listado
CLEI Selected Papers,2,,,,,não listado
2024 IEEE/ACM International Workshop on Responsible AI Engineering (RAIE),2,,,,,workshop/trilha
New Security Paradigms Workshop,2,,,,,workshop/trilha
International Conference on Emerging Technologies,2,,,,,não listado
Journal of Intelligent and Robotic Systems,2,A2,periódico,0921-0296,JOURNAL OF INTELLIGENT & ROBOTIC SYSTEMS,ISSN
"2017 IEEE/ACM Joint 5th International Workshop on Software Engineering for Systems-of-Systems and 11th Workshop on Distributed Software Development, Software Ecosystems and Systems-of-Systems (JSOS)",2,,,,,workshop/trilha
Anais do XVII Women in Information Technology (WIT 2023),2,B1,evento,WIT,Women in Information Technology,nome
2008 ACM/IEEE 30th International Conference on Software Engineering,2,A1,evento,ICSE,International Conference on Software Engineering,nome
Assessment &amp; Evaluation in Higher Education,2,,,,,não listado
International Conference on Information Technology Systems and Innovation,2,,,,,não listado
IEEE International Conference on COTS-Based Software Systems,2,,,,,não listado
Australian Software Engineering Conference,2,,,,,não listado
"International Conference on Engineering, Technology and Innovation",2,,,,,não listado
Anais do III Simpósio Brasileiro de Computação na Educação Básica (SBC-EB 2026),2,,,,,não listado
2017 IEEE/ACM 39th International Conference on Software Engineering Companion (ICSE-C),2,,,,,workshop/trilha
International Conference on Advanced Communication Technology,2,,,,,não listado
International Conference on eDemocracy & eGovernment,2,,,,,não listado
International Journal of Human-Computer Interaction,2,A1,periódico,1044-7318,INTERNATIONAL JOURNAL OF HUMAN-COMPUTER INTERACTION,ISSN
Universal Library of Innovative Research and Studies,2,,,,,não listado
Anais Estendidos do XII Congresso Brasileiro de Informática na Educação (CBIE 2023),2,,,,,não listado
International Conference on Next Generation Web Services Practices,2,,,,,não listado
JMIR mHealth and uHealth,2,,,,,não listado
International Joint Conference on Automated Reasoning,2,A4,evento,IJCAR,International Joint Conference on Automated Reasoning,nome
ACM-SIGPLAN Symposium on Programming Language Design and Implementation,2,,,,,não listado
International Conference on Smart Multimedia,2,,,,,não listado
Engineering applications of artificial intelligence,2,A1,periódico,0952-1976,ENGINEERING APPLICATIONS OF ARTIFICIAL INTELLIGENCE,ISSN
International Conference on Multimodal Interaction,2,,,,,não listado
International Conference on Innovations in Information Technology,2,,,,,não listado
South African Journal of Industrial Engineering,2,,,,,não listado
Brazilian Symposium on Computing System Engineering,2,A4,evento,SBESC,Symposium on Computing Systems Engineering,sigla
ACM SIGAPP Applied Computing Review,2,B4,periódico,1559-6915,APPLIED COMPUTING REVIEW,ISSN
Proceedings. SCCC'99 XIX International Conference of the Chilean Computer Science Society,2,B1,evento,SCCC,International Conference of the Chilean Computer Science Society,nome aproximado
Semiología,2,,,,,não listado
Mathematical Structures in Computer Science,2,A4,periódico,0960-1295,MSCS. MATHEMATICAL STRUCTURES IN COMPUTER SCIENCE (PRINT),ISSN
International Conference on Formal Structures for Computation and Deduction,2,A4,evento,FSCD,International Conference on Formal Structures for Computation and Deduction,nome
2019 IEEE/ACM 41st International Conference on Software Engineering: Companion Proceedings (ICSE-Companion),2,,,,,workshop/trilha
Revista de Gestão e Projetos,2,A4,periódico,2236-0972,REVISTA DE GESTÃO E PROJETOS,ISSN
E3S Web of Conferences,2,,,,,não listado
International Journal of Innovative Technology and Exploring Engineering,2,,,,,não listado
Wireless personal communications,2,A4,periódico,0929-6212,WIRELESS PERSONAL COMMUNICATIONS,ISSN
International Journal of Open Source Software & Processes,2,,,,,não listado
International Workshop on Verification and Evaluation of Computer and Communication Systems,2,,,,,workshop/trilha
VISIGRAPP,2,B2,evento,VISIGRAPP,"Conference on Computer Vision, Imaging and Computer Graphics Theory and Applications",sigla
2025 International Conference on Electrical and Computer Engineering Researches (ICECER),2,,,,,não listado
2020 IEEE International Conference on Software Architecture Companion (ICSA-C),2,,,,,workshop/trilha
IACR Cryptology ePrint Archive,2,,,,,não listado
XP Workshops,2,,,,,workshop/trilha
International Conference on Testing Software and Systems,2,A3,evento,ICTSS,IFIP International Conference on Testing Software and Systems,nome aproximado
REFSQ Workshops,2,,,,,workshop/trilha
Computer Supported Cooperative Work  (CSCW),2,A2,periódico,0925-9724,COMPUTER SUPPORTED COOPERATIVE WORK,ISSN
RENOTE,2,A4,periódico,1679-1916,RENOTE. REVISTA NOVAS TECNOLOGIAS NA EDUCAÇÃO,ISSN
Journal of Grid Computing,1,A2,periódico,1570-7873,JOURNAL OF GRID COMPUTING,ISSN
BMC Public Health,1,A1,periódico,1471-2458,BMC PUBLIC HEALTH (ONLINE),ISSN
Symposium on Dependable Autonomic and Secure Computing,1,,,,,não listado
International Journal of Education in Mathematics Science and Technology,1,,,,,não listado
Information systems management,1,,,,,não listado
MSSiS,1,B4,evento,MSSIS,Workshop deModelagem e Simulação de Sistemas Intensivos em Software,sigla
"2023 International Conference on Informatics Engineering, Science & Technology (INCITEST)",1,,,,,não listado
Proceedings 17th International Conference of the Chilean Computer Science Society,1,B1,evento,SCCC,International Conference of the Chilean Computer Science Society,nome
2024 IEEE 32nd International Requirements Engineering Conference Workshops (REW),1,,,,,workshop/trilha
TechTrends,1,,,,,não listado
Conducting Empirical Studies in Industry,1,,,,,não listado
Revista Electrónica de Investigación en Educación en Ciencias,1,A2,periódico,1850-6666,REVISTA ELECTRÓNICA DE INVESTIGACIÓN EN EDUCACIÓN EN CIENCIAS (EN LÍNEA),ISSN
Revista Brasileira de Engenharia de Biossistemas,1,,,,,não listado
World Congress on Formal Methods,1,,,,,não listado
Proceedings. 1997 IEEE Conference on Information Visualization (Cat. No.97TB100165),1,,,,,não listado
Advances in Mechanical Engineering,1,,,,,não listado
Proceedings of the 31st Symposium Design for X (DFX2020),1,,,,,não listado
"2026 Innovations in Machine, Engineering, and Digital Conference (IMED)",1,,,,,não listado
2018 Second International Conference on Green Computing and Internet of Things (ICGCIoT),1,,,,,não listado
Trans. SDPS,1,,,,,não listado
International Conference on Computer Systems and Technologies,1,,,,,não listado
Annals of Software Engineering,1,,,,,não listado
Advancing Women in Leadership Journal,1,,,,,não listado
"2025 International Conference on Computational, Communication and Information Technology (ICCCIT)",1,,,,,não listado
Jurnal Online Informatika,1,,,,,não listado
International Conference on Information and Software Technologies,1,,,,,não listado
2013 IEEE 4th International Conference on Software Engineering and Service Science,1,A4,evento,ICSESS,International Conference on Software Engineering and Service Science,nome
2013 III Brazilian Symposium on Computing Systems Engineering,1,,,,,não listado
"2014 IEEE Seventh International Conference on Software Testing, Verification and Validation Workshops",1,,,,,workshop/trilha
UK Academy for Information Systems Annual Conference,1,,,,,não listado
Enterprise Information Systems,1,,,,,não listado
